223 26.8293
1.59978e+06 1.54367e+06 1.52352e+06
1.52717e+06 1.57834e+06 1.59359e+06
1.53828e+06 1.5958e+06 1.54994e+06
1.54823e+06 1.54072e+06 1.59805e+06
1.60454e+06 1.4923e+06 1.62701e+06
1.57128e+06 1.55523e+06 1.55225e+06
1.60236e+06 1.52662e+06 1.55766e+06
1.55582e+06 1.56139e+06 1.5796e+06
1.54035e+06 1.55883e+06 1.6103e+06
1.58002e+06 1.53036e+06 1.58923e+06
1.60391e+06 1.52086e+06 1.58751e+06
1.57476e+06 1.52813e+06 1.6327e+06
1.5786e+06 1.54363e+06 1.57719e+06
1.53437e+06 1.57092e+06 1.61047e+06
1.58827e+06 1.57029e+06 1.54776e+06
1.58776e+06 1.51899e+06 1.60893e+06
1.56014e+06 1.5856e+06 1.57111e+06
1.54148e+06 1.54892e+06 1.65508e+06
1.56557e+06 1.53798e+06 1.59633e+06
1.60769e+06 1.51454e+06 1.61479e+06
1.5365e+06 1.56525e+06 1.6313e+06
1.58975e+06 1.5268e+06 1.59172e+06
1.626e+06 1.51519e+06 1.58122e+06
1.59412e+06 1.53768e+06 1.57521e+06
1.59649e+06 1.59145e+06 1.54138e+06
1.59514e+06 1.54458e+06 1.5658e+06
1.52361e+06 1.61329e+06 1.66024e+06
1.56792e+06 1.5387e+06 1.59326e+06
1.5863e+06 1.51896e+06 1.63078e+06
1.58589e+06 1.52488e+06 1.60967e+06
1.61558e+06 1.50838e+06 1.62386e+06
1.56686e+06 1.55448e+06 1.58746e+06
1.59597e+06 1.51884e+06 1.60787e+06
1.57056e+06 1.53688e+06 1.63549e+06
1.58802e+06 1.56145e+06 1.55092e+06
1.57317e+06 1.54466e+06 1.59079e+06
1.56131e+06 1.61431e+06 1.54954e+06
1.54876e+06 1.59094e+06 1.58744e+06
1.54671e+06 1.58793e+06 1.59081e+06
1.60025e+06 1.53458e+06 1.57579e+06
1.60046e+06 1.51792e+06 1.65027e+06
1.59249e+06 1.55443e+06 1.55968e+06
1.57088e+06 1.5586e+06 1.57781e+06
