1103 3.75195
313259 292106 318495
317081 314369 315663
340416 321058 291878
338221 304198 297689
316357 342678 299502
313064 315616 314756
319384 312580 315548
309707 339346 302118
321872 318780 300518
326335 312690 293014
315956 330505 304557
305438 322633 310235
314989 317869 310407
341188 323955 286690
303217 343926 304192
324794 299418 299819
338651 339435 280872
314805 324850 307006
322845 309047 300661
316652 319649 296316
330153 355496 282766
333990 333200 290650
318000 315575 301762
323528 315298 297279
338794 325415 286450
319157 315074 308661
349839 306925 295651
312857 315165 320828
317285 318797 293586
298411 318138 312498
340058 287733 322748
320129 310856 311266
313179 346006 300672
314739 345091 290711
