23 0.329619
305662 325177 305287
313340 327779 295809
328121 313487 293810
328235 314655 290762
329579 310999 304464
331299 332205 287533
321632 311070 298796
309067 312482 319486
315894 319120 298012
303544 325763 307495
316204 302928 332591
332529 300978 299756
299054 325527 317118
321381 326138 295111
314249 340160 285315
330028 301347 310108
326412 327489 290593
348022 310312 282130
312111 341927 286952
327729 333152 290419
323190 325985 294649
326371 304182 317937
326437 296564 317034
309397 315644 298155
326824 319318 296701
329105 307691 308037
331716 294799 307382
311010 312016 305615
320784 304119 329294
321151 306129 310269
332019 326978 289157
311615 351783 297960
314527 326690 293680
329522 307567 308160
315912 325740 295446
330202 307034 289777
331202 305937 305915
336836 299888 283545
300622 315872 310846
309042 350268 305223
327025 321793 294079
330813 326592 289596
336286 325169 283171
313231 307698 309280
330769 295282 321903
324435 336776 280700
326123 325161 297472
329759 309890 300747
